id,timestamp,timestamp_fixed,elapsed,lat,lng,speed,altitude_m,altitude_ft,comment,volt,t_int,t_ext,t_amb,humid,pressure,prec_gas,reduc_gas,oxid_gas,temp_ired,cap,alt_miles
1,3/14/2015 18:20,03/14/2015 18:20:30,0,38.5045,-89.6215,20,309.07,1014,Ti=30/Te=14/V=8185 Arch Reactor,8185,30,14,28.7777777778,40.2,99184,-4.8,131470,6151,29.1666666667,2688,0.1920454545
2,3/14/2015 18:21,03/14/2015 18:21:00,0.5,38.50167,-89.62167,30,597.71,1961,Ti=28/Te=12/V=8185 Arch Reactor,8185,28,12,27.4444444444,39,95896,-5,133080,6407,26.5,2656,0.3714015152
3,3/14/2015 18:21,03/14/2015 18:21:30,1,38.49933,-89.62233,31,775.41,2544,Ti=26/Te=12/V=8185 Arch Reactor,8185,26,12,27.4444444444,39,95896,-5,133080,6407,26.5,2656,0.4818181818
4,3/14/2015 18:22,03/14/2015 18:22:00,1.5,38.49683,-89.623,30,917.14,3009,Ti=26/Te=12/V=8185 Arch Reactor,8185,26,12,25.5555555556,36.3,92356,-4.8,147857,7028,24.3333333333,2641,0.5698863636
5,3/14/2015 18:22,03/14/2015 18:22:30,2,38.4945,-89.62417,31,1061.31,3482,Ti=25/Te=11/V=8185 Arch Reactor,8185,25,11,25.5555555556,36.3,92356,-4.8,147857,7028,24.3333333333,2641,0.659469697
6,3/14/2015 18:23,03/14/2015 18:23:00,2.5,38.492,-89.62483,37,1201.22,3941,Ti=24/Te=11/V=8185 Arch Reactor,8185,24,11,23.8888888889,34.9,89108,-4.6,151681,7408,22.8888888889,2625,0.7464015152
7,3/14/2015 18:23,03/14/2015 18:23:30,3,38.4895,-89.62483,35,1337.77,4389,Ti=24/Te=11/V=8185 Arch Reactor,8185,24,11,23.8888888889,34.9,89108,-4.6,151681,7408,22.8888888889,2625,0.83125
8,3/14/2015 18:24,03/14/2015 18:24:00,3.5,38.4865,-89.62467,30,1469.75,4822,Ti=24/Te=11/V=8185 Arch Reactor,8185,24,11,22.5555555556,31,86132,-4.5,155577,8082,21.6666666667,2610,0.9132575758
9,3/14/2015 18:24,03/14/2015 18:24:30,4,38.484,-89.62467,39,1628.24,5342,Ti=23/Te=11/V=8185 Arch Reactor,8185,23,11,22.5555555556,31,86132,-4.5,155577,8082,21.6666666667,2610,1.0117424242
10,3/14/2015 18:25,03/14/2015 18:25:00,4.5,38.48183,-89.62467,26,1789.48,5871,Ti=22/Te=10/V=8165 Arch Reactor,8165,22,10,21.3888888889,27.9,82948,-4.4,157552,8667,20.6111111111,2610,1.1119318182
11,3/14/2015 18:25,03/14/2015 18:25:30,5,38.47933,-89.62483,24,1927.56,6324,Ti=22/Te=10/V=8165 Arch Reactor,8165,22,10,21.3888888889,27.9,82948,-4.4,157552,8667,20.6111111111,2610,1.1977272727
12,3/14/2015 18:26,03/14/2015 18:26:00,5.5,38.47767,-89.62533,24,2050.39,6727,Ti=21/Te=11/V=8165 Arch Reactor,8165,21,11,20.2222222222,24.6,80196,-3.9,146283,9089,19.9444444444,2594,1.2740530303
13,3/14/2015 18:26,03/14/2015 18:26:30,6,38.47533,-89.62683,37,2211.63,7256,Ti=21/Te=11/V=8165 Arch Reactor,8165,21,11,20.2222222222,24.6,80196,-3.9,146283,9089,19.9444444444,2594,1.3742424242
14,3/14/2015 18:27,03/14/2015 18:27:00,6.5,38.4725,-89.629,44,2353.67,7722,Ti=21/Te=11/V=8165 Arch Reactor,8165,21,11,19.3888888889,19.1,77260,-4.2,147699,9752,19.3333333333,2578,1.4625
15,3/14/2015 18:27,03/14/2015 18:27:30,7,38.47,-89.6315,37,2469.79,8103,Ti=21/Te=10/V=8165 Arch Reactor,8165,21,10,19.3888888889,19.1,77260,-4.2,147699,9752,19.3333333333,2578,1.5346590909
