timestamp_fixed,cat,altitude_ft,altitude_m,cap,external_adc,humid,lat,lng,long,oxid_gas,prec_gas,pressure,reduc_gas,speed,t_amb,t_ext,t_int,t_ired,temp_ired,volt,timestamp_offset
2016-04-16 13:03:51,HAB_2,436,132.8928,2703,1.628,47.8,38.5091666666667,-89.6255555555556,NA,8027,-7.4,100924,135296,NA,90.1,NA,NA,88.9,NA,NA,0
2016-04-16 13:10:51,HAB_3,468.996078,NA,2625,1.528,32.6,38.50567,-89.622,-89.622,12036,-5.3,80776,200890,NA,71.4,NA,NA,33.2,NA,NA,0
2016-04-16 13:04:51,HAB_2,556,169.4688,2719,1.617,44.7,38.5102777777778,-89.6272222222222,NA,7745,-7.5,100536,140107,NA,90.9,NA,NA,63,NA,NA,60
2016-04-16 13:05:51,HAB_2,723,220.3704,2688,1.455,41.2,38.5144444444444,-89.6341666666667,NA,8184,-6.8,96896,144566,NA,87.7,NA,NA,106.9,NA,NA,120
2015-03-14 18:20:30,HAB_0,1014,309.07,2688,NA,40.2,38.5045,-89.6215,NA,6151,-4.8,99184,131470,20,28.7777777778,14,30,NA,29.1666666667,8185,0
2016-04-16 13:11:51,HAB_3,1497.998736,NA,2610,1.546,30.1,38.50317,-89.61717,-89.61717,12521,-5,77356,212816,30,67.4,NA,NA,14.7,NA,NA,60
2015-03-14 18:21:00,HAB_0,1961,597.71,2656,NA,39,38.50167,-89.62167,NA,6407,-5,95896,133080,30,27.4444444444,12,28,NA,26.5,8185,30
2016-04-16 13:06:51,HAB_2,2231,680.0088,2688,1.604,41.6,38.5158333333333,-89.6394444444444,NA,8716,-7.6,93916,157386,NA,84.2,NA,NA,45.6,NA,NA,180
2016-04-16 13:12:51,HAB_3,2383.989578,NA,2594,1.573,28,38.50133,-89.61217,-89.61217,13730,-4.6,74096,218577,29,65.4,NA,NA,6.4,NA,NA,120
2015-03-14 18:21:30,HAB_0,2544,775.41,2656,NA,39,38.49933,-89.62233,NA,6407,-5,95896,133080,31,27.4444444444,12,26,NA,26.5,8185,60
2015-03-14 18:22:00,HAB_0,3009,917.14,2641,NA,36.3,38.49683,-89.623,NA,7028,-4.8,92356,147857,30,25.5555555556,12,26,NA,24.3333333333,8185,90
2016-04-16 13:13:51,HAB_3,3450.984362,NA,2578,1.531,30.3,38.49967,-89.6065,-89.6065,14286,-4.7,71248,227368,32,61.9,NA,NA,47.4,NA,NA,180
2015-03-14 18:22:30,HAB_0,3482,1061.31,2641,NA,36.3,38.4945,-89.62417,NA,7028,-4.8,92356,147857,31,25.5555555556,11,25,NA,24.3333333333,8185,120
2016-04-16 13:07:51,HAB_2,3490,1063.752,2672,1.459,43.4,38.5208333333333,-89.6344444444445,NA,9019,-6.5,90196,167361,NA,80.3,NA,NA,76.9,NA,NA,240
2016-04-16 13:08:51,HAB_2,3736,1138.7328,2656,1.457,38.8,38.52,-89.6416666666667,NA,10058,-6.4,87296,178721,NA,76.1,NA,NA,24.2,NA,NA,300
2015-03-14 18:23:00,HAB_0,3941,1201.22,2625,NA,34.9,38.492,-89.62483,NA,7408,-4.6,89108,151681,37,23.8888888889,11,24,NA,22.8888888889,8185,150
2016-04-16 13:09:51,HAB_2,4052,1235.0496,2641,1.515,30.9,38.5336111111111,-89.6527777777778,NA,11436,-5.5,84100,187069,NA,73.7,NA,NA,91.4,NA,NA,360
2015-03-14 18:23:30,HAB_0,4389,1337.77,2625,NA,34.9,38.4895,-89.62483,NA,7408,-4.6,89108,151681,35,23.8888888889,11,24,NA,22.8888888889,8185,180
2016-04-16 13:14:51,HAB_3,4520.99752,NA,2563,1.578,32,38.4965,-89.5985,-89.5985,15038,-4.3,68436,245935,47,59,NA,NA,-4.5,NA,NA,240
2015-03-14 18:24:00,HAB_0,4822,1469.75,2610,NA,31,38.4865,-89.62467,NA,8082,-4.5,86132,155577,30,22.5555555556,11,24,NA,21.6666666667,8185,210
2015-03-14 18:24:30,HAB_0,5342,1628.24,2610,NA,31,38.484,-89.62467,NA,8082,-4.5,86132,155577,39,22.5555555556,11,23,NA,21.6666666667,8185,240
2016-04-16 13:15:51,HAB_3,5583.98968,NA,2547,1.564,28.2,38.49317,-89.59067,-89.59067,16030,-4.3,65876,258008,47,56,NA,NA,12.2,NA,NA,300
2015-03-14 18:25:00,HAB_0,5871,1789.48,2610,NA,27.9,38.48183,-89.62467,NA,8667,-4.4,82948,157552,26,21.3888888889,10,22,NA,20.6111111111,8165,270
2016-04-16 13:10:51,HAB_2,6006,1830.6288,2625,1.528,32.6,38.5441666666667,-89.6527777777778,NA,12036,-5.3,80776,200890,NA,71.4,NA,NA,33.2,NA,NA,420
2015-03-14 18:25:30,HAB_0,6324,1927.56,2610,NA,27.9,38.47933,-89.62483,NA,8667,-4.4,82948,157552,24,21.3888888889,10,22,NA,20.6111111111,8165,300
2016-04-16 13:16:51,HAB_3,6668.012024,NA,2547,1.555,21.8,38.49167,-89.584,-89.584,17991,-4.4,63416,263872,36,53.8,NA,NA,-8.5,NA,NA,360
2015-03-14 18:26:00,HAB_0,6727,2050.39,2594,NA,24.6,38.47767,-89.62533,NA,9089,-3.9,80196,146283,24,20.2222222222,11,21,NA,19.9444444444,8165,330
2016-04-16 13:11:51,HAB_2,7107,2166.2136,2610,1.546,30.1,38.5447222222222,-89.6627777777778,NA,12521,-5,77356,212816,NA,67.4,NA,NA,14.7,NA,NA,480
2015-03-14 18:26:30,HAB_0,7256,2211.63,2594,NA,24.6,38.47533,-89.62683,NA,9089,-3.9,80196,146283,37,20.2222222222,11,21,NA,19.9444444444,8165,360
2016-04-16 13:17:51,HAB_3,7679.00287,NA,2531,1.568,19.9,38.49067,-89.57617,-89.57617,19838,-4.2,61148,246417,41,52.1,NA,NA,3.2,NA,NA,420
2015-03-14 18:27:00,HAB_0,7722,2353.67,2578,NA,19.1,38.4725,-89.629,NA,9752,-4.2,77260,147699,44,19.3888888889,11,21,NA,19.3333333333,8165,390
2015-03-14 18:27:30,HAB_0,8103,2469.79,2578,NA,19.1,38.47,-89.6315,NA,9752,-4.2,77260,147699,37,19.3888888889,10,21,NA,19.3333333333,8165,420
2015-03-14 18:28:00,HAB_0,8474,2582.8,2578,NA,17.4,38.46683,-89.63417,NA,10306,-4.2,75152,131908,43,18.6666666667,9,20,NA,18.6111111111,8165,450
2016-04-16 13:18:51,HAB_3,8747.998968,NA,2531,1.515,18.5,38.48833,-89.56967,-89.56967,20231,-4.2,58648,244974,37,50.4,NA,NA,16.7,NA,NA,480
2015-03-14 18:28:30,HAB_0,8849,2697.1,2578,NA,17.4,38.46383,-89.6365,NA,10306,-4.2,75152,131908,56,18.6666666667,8,20,NA,18.6111111111,8165,480
2016-04-16 13:12:51,HAB_2,9088,2770.0224,2594,1.573,28,38.5516666666667,-89.6694444444445,NA,13730,-4.6,74096,218577,NA,65.4,NA,NA,6.4,NA,NA,540
2016-04-16 13:13:51,HAB_2,9267,2824.5816,2578,1.531,30.3,38.5505555555556,-89.6769444444444,NA,14286,-4.7,71248,227368,NA,61.9,NA,NA,47.4,NA,NA,600
2015-03-14 18:29:00,HAB_0,9327,2842.8,2563,NA,16.4,38.4605,-89.63917,NA,10349,-4.5,72868,135445,46,17.8888888889,6,20,NA,18,8165,510
2015-03-14 18:29:30,HAB_0,9833,2997.1,2563,NA,16.4,38.45683,-89.64167,NA,10349,-4.5,72868,135445,52,17.8888888889,5,19,NA,18,8145,540
2016-04-16 13:19:51,HAB_3,9899.016065,NA,2531,1.556,16.1,38.48617,-89.56333,-89.56333,21375,-4.2,56124,242586,36,48.2,NA,NA,0.5,NA,NA,540
2015-03-14 18:30:00,HAB_0,10296,3138.2,2547,NA,15.8,38.45317,-89.64467,NA,10426,-4.2,70212,125864,63,17,4,19,NA,16.7777777778,8145,570
2016-04-16 13:14:51,HAB_2,10687,3257.3976,2563,1.578,32,38.5586111111111,-89.6675,NA,15038,-4.3,68436,245935,NA,59,NA,NA,-4.5,NA,NA,660
2015-03-14 18:30:30,HAB_0,10746,3275.3,2547,NA,15.8,38.449,-89.64717,NA,10426,-4.2,70212,125864,57,17,4,19,NA,16.7777777778,8145,600
2016-04-16 13:15:51,HAB_2,10904,3323.5392,2547,1.564,28.2,38.5666666666667,-89.6677777777778,NA,16030,-4.3,65876,258008,NA,56,NA,NA,12.2,NA,NA,720
2016-04-16 13:16:51,HAB_2,10904,3323.5392,2547,1.555,21.8,38.5666666666667,-89.6677777777778,NA,17991,-4.4,63416,263872,NA,53.8,NA,NA,-8.5,NA,NA,780
2016-04-16 13:20:51,HAB_3,11060.99117,NA,2578,1.451,16.1,38.48283,-89.5565,-89.5565,22589,-3.7,54092,232568,42,46.5,NA,NA,-11.7,NA,NA,600
2015-03-14 18:31:00,HAB_0,11174,3405.8,2547,NA,15.5,38.44433,-89.65017,NA,10748,-4,67876,123890,67,16.1111111111,4,19,NA,17.2222222222,8165,630
2015-03-14 18:31:30,HAB_0,11550,3520.4,2547,NA,15.5,38.44,-89.65217,NA,10748,-4,67876,123890,63,16.1111111111,3,18,NA,17.2222222222,8104,660
2015-03-14 18:32:00,HAB_0,11963,3646.3,2531,NA,15.1,38.43517,-89.65367,NA,10883,-4.1,65812,120551,63,15.5555555556,1,18,NA,17.1111111111,8165,690
2016-04-16 13:21:51,HAB_3,12250.98464,NA,2578,1.513,15.8,38.47967,-89.54933,-89.54933,23132,-3.9,51924,239281,43,44.4,NA,NA,-7.9,NA,NA,660
2015-03-14 18:32:30,HAB_0,12410,3782.5,2531,NA,15.1,38.4305,-89.6555,NA,10883,-4.1,65812,120551,67,15.5555555556,1,18,NA,17.1111111111,8165,720
2016-04-16 13:17:51,HAB_2,12616,3845.3568,2531,1.568,19.9,38.5752777777778,-89.675,NA,19838,-4.2,61148,246417,NA,52.1,NA,NA,32,NA,NA,840
2015-03-14 18:33:00,HAB_0,12753,3887.1,2516,NA,14.7,38.42567,-89.657,NA,11111,-4,63660,115916,69,14.8888888889,0,18,NA,16.4444444444,8165,750
2015-03-14 18:33:30,HAB_0,13225,4030.98,2516,NA,14.7,38.421,-89.65833,NA,11111,-4,63660,115916,63,14.8888888889,-1,18,NA,16.4444444444,8145,780
2016-04-16 13:22:51,HAB_3,13454.00306,NA,2594,1.56,14.7,38.475,-89.54167,-89.54167,24289,-3.9,49992,242112,51,42.1,NA,NA,34.7,NA,NA,720
2015-03-14 18:34:00,HAB_0,13675,4168.14,2516,NA,14,38.4165,-89.66017,NA,10974,-4.2,61576,117675,70,14.2222222222,-2,18,NA,14.6111111111,8125,810
2015-03-14 18:34:30,HAB_0,14160,4315.97,2516,NA,14,38.413,-89.6615,NA,10974,-4.2,61576,117675,54,14.2222222222,-3,17,NA,14.6111111111,8165,840
2016-04-16 13:18:51,HAB_2,14311,4361.9928,2531,1.515,18.5,38.5680555555556,-89.6830555555556,NA,20231,-4.2,58648,244974,NA,50.4,NA,NA,16.7,NA,NA,900
2015-03-14 18:35:00,HAB_0,14643,4463.19,2500,NA,14.3,38.40967,-89.66283,NA,11495,-4,59232,114707,37,13.1666666667,-4,16,NA,13.1111111111,8145,870
